#IID	pop
HG03457	MSL
HG03458	MSL
HG03460	MSL
HG03461	MSL
HG03464	MSL
HG03469	MSL
HG03470	MSL
HG03472	MSL
HG03473	MSL
HG03476	MSL
HG03478	MSL
HG03479	MSL
HG03484	MSL
HG03485	MSL
HG03499	ESN
HG03511	ESN
HG03514	ESN
HG03515	ESN
HG03517	ESN
HG03518	ESN
HG03520	ESN
HG03521	ESN
HG03538	GWD
HG03539	GWD
HG03547	MSL
HG03548	MSL
HG03556	MSL
HG03557	MSL
HG03558	MSL
HG03559	MSL
HG03563	MSL
HG03565	MSL
HG03567	MSL
HG03571	MSL
HG03572	MSL
HG03575	MSL
HG03577	MSL
HG03578	MSL
HG03583	MSL
NA18486	YRI
NA18488	YRI
NA18489	YRI
NA18498	YRI
NA18499	YRI
NA18501	YRI
NA18502	YRI
NA18504	YRI
NA18505	YRI
NA18507	YRI
NA18508	YRI
NA18510	YRI
NA18511	YRI
NA18516	YRI
NA18517	YRI
NA18519	YRI
NA18520	YRI
NA18522	YRI
NA18523	YRI
NA18853	YRI
NA18856	YRI
NA18858	YRI
NA18861	YRI
NA18864	YRI
NA18865	YRI
NA18867	YRI
NA18868	YRI
NA18870	YRI
NA18871	YRI
NA18873	YRI
NA18874	YRI
NA18876	YRI
NA18877	YRI
NA18878	YRI
NA18879	YRI
NA18881	YRI
NA18907	YRI
NA18908	YRI
NA18909	YRI
NA18910	YRI
NA18912	YRI
NA18915	YRI
NA18916	YRI
NA18917	YRI
NA18923	YRI
NA18924	YRI
NA18933	YRI
NA18934	YRI
NA19017	LWK
NA19019	LWK
NA19020	LWK
NA19023	LWK
NA19024	LWK
NA19025	LWK
NA19026	LWK
NA19027	LWK
NA19028	LWK
NA19030	LWK
NA19031	LWK
NA19035	LWK
NA19036	LWK
NA19037	LWK
NA19038	LWK
NA19041	LWK
NA19042	LWK
NA19043	LWK
NA19092	YRI
NA19093	YRI
NA19095	YRI
NA19096	YRI
NA19098	YRI
NA19099	YRI
NA19102	YRI
NA19107	YRI
NA19108	YRI
NA19113	YRI
NA19114	YRI
NA19116	YRI
NA19117	YRI
NA19118	YRI
NA19119	YRI
NA19121	YRI
NA19129	YRI
NA19130	YRI
NA19131	YRI
NA19137	YRI
NA19138	YRI
NA19141	YRI
NA19143	YRI
NA19144	YRI
NA19146	YRI
NA19147	YRI
NA19149	YRI
NA19152	YRI
NA19153	YRI
NA19159	YRI
NA19160	YRI
NA19171	YRI
NA19172	YRI
NA19175	YRI
NA19184	YRI
NA19185	YRI
NA19189	YRI
NA19190	YRI
NA19197	YRI
NA19198	YRI
NA19200	YRI
NA19201	YRI
NA19204	YRI
NA19206	YRI
NA19207	YRI
NA19209	YRI
NA19210	YRI
NA19213	YRI
NA19214	YRI
NA19222	YRI
NA19223	YRI
NA19225	YRI
NA19235	YRI
NA19236	YRI
NA19238	YRI
NA19239	YRI
NA19247	YRI
NA19248	YRI
NA19256	YRI
NA19257	YRI
NA19307	LWK
NA19308	LWK
NA19309	LWK
NA19310	LWK
NA19312	LWK
NA19314	LWK
NA19315	LWK
NA19316	LWK
NA19317	LWK
NA19318	LWK
NA19319	LWK
NA19320	LWK
NA19321	LWK
NA19323	LWK
NA19324	LWK
NA19327	LWK
NA19328	LWK
NA19331	LWK
NA19332	LWK
NA19334	LWK
NA19338	LWK
NA19346	LWK
NA19347	LWK
NA19350	LWK
NA19351	LWK
NA19355	LWK
NA19360	LWK
NA19372	LWK
NA19374	LWK
NA19375	LWK
NA19376	LWK
NA19377	LWK
NA19378	LWK
NA19379	LWK
NA19380	LWK
NA19383	LWK
NA19384	LWK
NA19385	LWK
NA19390	LWK
NA19391	LWK
NA19393	LWK
NA19394	LWK
NA19395	LWK
NA19397	LWK
NA19399	LWK
NA19401	LWK
NA19403	LWK
NA19404	LWK
NA19428	LWK
NA19429	LWK
NA19430	LWK
NA19431	LWK
NA19434	LWK
NA19435	LWK
NA19436	LWK
NA19437	LWK
NA19438	LWK
NA19439	LWK
NA19440	LWK
NA19443	LWK
NA19445	LWK
NA19446	LWK
NA19448	LWK
NA19449	LWK
NA19451	LWK
NA19452	LWK
NA19454	LWK
NA19455	LWK
NA19456	LWK
NA19457	LWK
NA19461	LWK
NA19462	LWK
NA19463	LWK
NA19466	LWK
NA19467	LWK
NA19468	LWK
NA19471	LWK
NA19472	LWK
NA19473	LWK
NA19474	LWK
NA19475	LWK
NA19625	ASW
NA19700	ASW
NA19701	ASW
NA19703	ASW
NA19704	ASW
NA19707	ASW
NA19711	ASW
NA19712	ASW
NA19713	ASW
NA19818	ASW
NA19819	ASW
NA19834	ASW
NA19835	ASW
NA19900	ASW
NA19901	ASW
NA19904	ASW
NA19908	ASW
NA19909	ASW
NA19913	ASW
NA19914	ASW
NA19916	ASW
NA19917	ASW
NA19920	ASW
NA19921	ASW
NA19922	ASW
NA19923	ASW
NA19982	ASW
NA19984	ASW
NA20126	ASW
NA20127	ASW
NA20274	ASW
NA20276	ASW
NA20278	ASW
NA20281	ASW
NA20282	ASW
NA20287	ASW
NA20289	ASW
NA20291	ASW
NA20294	ASW
NA20296	ASW
NA20298	ASW
NA20299	ASW
NA20314	ASW
NA20317	ASW
NA20318	ASW
NA20320	ASW
NA20321	ASW
NA20332	ASW
NA20334	ASW
NA20339	ASW
NA20340	ASW
NA20342	ASW
NA20346	ASW
NA20348	ASW
NA20351	ASW
NA20355	ASW
NA20356	ASW
NA20357	ASW
NA20359	ASW
NA20362	ASW
NA20412	ASW
